,,Eastern Cape,,Free State,,Gauteng,,KwaZulu-Natal,,Limpopo,,Mpumalanga,,North West,,,Northern Cape,,Western Cape,,Out of Country,,Total,
Party Name,Abbr,Votes,% Votes,Votes,% Votes,Votes,% Votes,Votes,% Votes,Votes,% Votes,Votes,% Votes,Votes,% Votes,,Votes,% Votes,Votes,% Votes,Votes,% Votes,Votes,% Votes
AFRICAN CHRISTIAN DEMOCRATIC PARTY,ACDP,9947,0.004922973065937748,4214,0.004645000286592329,36249,0.007988932873922126,17524,0.00479770857671173,5241,0.0034695558227103977,6375,0.005011875196052765,4084,0.004107742753112993,,3143,0.007650142877310499,59147,0.028002954307655162,338,0.01700030178050498,146262,0.008387843150051392
AFRICAN CONGRESS OF DEMOCRATS,A.C.D,458,0.00022667353616160536,361,0.0003979224260702019,918,0.00020231841921875118,784,0.00021464297672574734,236,0.00015623262243076775,203,0.00015959382977234686,280,0.0002816278087344853,,125,0.0003042532165650055,402,0.00019032558932282912,1,5.0296750829896386e-05,3768,0.00021608752095139986
AFRICAN CONTENT MOVEMENT,ACM,266,0.00013164882231219875,1308,0.0014417798706366318,1174,0.00025873837054772754,1180,0.0003230595823168136,206,0.00013637254330821255,190,0.00014937353525490594,270,0.00027156967270825373,,61,0.00014847556968372268,186,8.806109356727915e-05,0,0,4841,0.00027762199812253897
AFRICAN COVENANT,ACO,400,0.00019796815385293045,379,0.000417763433464284,2782,0.0006131261898328603,691,0.00018918150117026964,584,0.00038660954025240835,455,0.00035771030811043264,466,0.00046870913882239346,,150,0.0003651038598780066,1101,0.0005212648603095394,11,0.0005532642591288602,7019,0.0004025260906469946
AFRICAN DEMOCRATIC CHANGE,ADEC,325,0.000160849125005506,3136,0.003456744399324524,992,0.0002186273113997834,836,0.00022887950069225098,184,0.00012180848528500537,185,0.00014544265274819788,232,0.00023334875580857355,,50,0.00012170128662600221,553,0.0002618160470037923,6,0.00030178050497937833,6499,0.0003727050951866103
AFRICAN INDEPENDENT CONGRESS,AIC,8134,0.004025682408599341,3387,0.003733416224653113,9715,0.0021410930748476773,10118,0.0027700990287131523,3999,0.002647348547036611,3945,0.0031014662977926523,4076,0.0040996962442920075,,1597,0.0038871390948345104,3133,0.0014833086351950838,3,0.00015089025248968916,48107,0.002758843516562896
AFRICAN NATIONAL CONGRESS,ANC,1399455,0.6926188068756319,570980,0.6293788001040551,2413979,0.5320178815983243,2026069,0.5546957668517324,1163091,0.7699693095577292,918756,0.7223043776666124,633223,0.6369043068938465,,239221,0.5822700697591775,659548,0.312260850215655,2153,0.10828890453676693,10026475,0.5749989720358777
AFRICAN PEOPLE'S CONVENTION,APC,1949,0.0009645998296484036,1196,0.0013183247135178987,3136,0.0006911444037799604,3274,0.0008963534512756336,4403,0.0029147976125536885,3358,0.002639980691505127,953,0.0009585403632998733,,321,0.0007813222601389341,1001,0.00047392018634863673,2,0.00010059350165979277,19593,0.0011236207001063634
AFRICAN RENAISSANCE UNITY,ARU,326,0.00016134404539013832,184,0.00020281918669506134,900,0.0001983513913909325,1300,0.00035591309916259124,393,0.00026016703650547345,197,0.00015487677076429722,207,0.0002082034157429945,,143,0.00034806567975036634,210,9.942381531789581e-05,0,0,3860,0.00022136354322516017
